ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
2219;C;221;4;Manufacture of other rubber products;Proizvodnja ostalih proizvoda od gume;Proizvodnja ostalih proizvoda od gume;Proizvodnja ostalih proizvoda od gume;Proizvodnja drugih izdelkov iz gume
2221;C;222;4;Manufacture of plastic plates, sheets, tubes and profiles;Proizvodnja ploèa, listova, cijevi i profila od plastike;Proizvodnja ploèa, listova, cijevi i profila od plastiènih masa;Proizvodnja ploèa, listova, cevi i profila od plastike;Proizvodnja plošè, folij, cevi in profilov iz plastiènih mas
2222;C;222;4;Manufacture of plastic packinggoods;Proizvodnja ambalaže od plastike;Proizvodnja ambalaže od plastiènih masa;Proizvodnja ambalaže od plastike;Proizvodnja embalaže iz plastiènih mas
2223;C;222;4;Manufacture of builders’ ware of plastic;Proizvodnja proizvoda od plastike za graðevinarstvo;Proizvodnja proizvoda od plastiènih masa za graðevinarstvo;Proizvodnja predmeta od plastike za graðevinarstvo;Proizvodnja izdelkov iz plastiènih mas za gradbeništvo
2229;C;222;4;Manufacture of other plastic products;Proizvodnja ostalih proizvoda od plastike;Proizvodnja ostalih proizvoda od plastiènih masa;Proizvodnja ostalih proizvoda od plastike;Proizvodnja drugih izdelkov iz plastiènih mas
2311;C;231;4;Manufacture of flat glass;Proizvodnja ravnog stakla;Proizvodnja ravnog stakla;Proizvodnja ravnog stakla;Proizvodnja ravnega stekla
2312;C;231;4;Shaping and processing of flat glass;Oblikovanje i obrada ravnog stakla;Oblikovanje i obrada ravnog stakla;Oblikovanje i obrada ravnog stakla;Oblikovanje in obdelava ravnega stekla
2313;C;231;4;Manufacture of hollow glass;Proizvodnja šupljeg stakla;Proizvodnja šupljeg stakla;Proizvodnja šupljeg stakla;Proizvodnja votlega stekla
2314;C;231;4;Manufacture of glass fibres;Proizvodnja staklenih vlakana;Proizvodnja staklenih vlakana;Proizvodnja staklenih vlakana;Proizvodnja steklenih vlaken
2319;C;231;4;Manufacture and processing of other glass, including technical glassware;Proizvodnja i obrada ostalog stakla ukljuèujuæi tehnièku robu od stakla;Proizvodnja i obrada ostalog stakla, ukljuèujuæi tehnièke proizvode od stakla;Proizvodnja i obrada ostalog stakla, ukljuèujuæi tehnièke staklene proizvode;Proizvodnja in oblikovanje drugih vrst stekla ter tehniènih steklenih izdelkov
2320;C;232;4;Manufacture of refractoryproducts;Proizvodnja vatrostalnih proizvoda;Proizvodnja vatrostalnih proizvoda;Proizvodnja vatrostalnih proizvoda;Proizvodnja ognjevzdržne keramike
2331;C;233;4;Manufacture of ceramic tiles and flags;Proizvodnja keramièkih ploèica i ploèa;Proizvodnja keramièkih ploèica i podnih ploèa;Proizvodnja keramièkih ploèica i ploèa;Proizvodnja keramiènih plošèic in oblog
2332;C;233;4;Manufacture of bricks, tiles and construction products, in baked clay;Proizvodnja opeke, crijepa i ostalih proizvoda od peèene gline za graðevinarstvo;Proizvodnja opeke, crijepa i ostalih proizvoda od peèene gline za graðevinarstvo;Proizvodnja opeke, crepa i graðevinskih proizvoda od peèene gline;Proizvodnja strešnikov, opeke in drugih gradbenih izdelkov iz žgane gline
2341;C;234;4;Manufacture of ceramic household and ornamental articles;Proizvodnja keramièkih proizvoda za kuæanstvo i ukrasnih predmeta;Proizvodnja  keramièkih  proizvoda  za  domaæinstvo i ukrasnih predmeta;Proizvodnja keramièkih predmeta za domaæinstvo i ukrasnih predmeta;Proizvodnja gospodinjske in okrasne keramike
2342;C;234;4;Manufacture of ceramic sanitary fixtures;Proizvodnja sanitarne keramike ;Proizvodnja sanitarne opreme od keramike;Proizvodnja sanitarnih keramièkih proizvoda;Proizvodnja sanitarne keramike
2343;C;234;4;Manufacture of ceramic insulators and insulating fittings;Proizvodnja keramièkih izolatora i izolacijskog pribora;Proizvodnja keramièkih izolatora i izolacijskog pribora;Proizvodnja izolatora i izolacionog pribora od keramike;Proizvodnja izolatorjev in izolacijskih elementov iz keramike
2344;C;234;4;Manufacture of other technical ceramic products;Proizvodnja ostalih tehnièkih proizvoda od keramike;Proizvodnja ostalih tehnièkih proizvoda od keramike;Proizvodnja ostalih tehnièkih proizvoda od keramike;Proizvodnja druge tehniène keramike
2349;C;234;4;Manufacture of other ceramic products;Proizvodnja ostalih proizvoda od keramike;Proizvodnja ostalih proizvoda od keramike;Proizvodnja ostalih keramièkih proizvoda;Proizvodnja drugih keramiènih izdelkov
2351;C;235;4;Manufacture of cement;Proizvodnja cementa;Proizvodnja cementa;Proizvodnja cementa;Proizvodnja cementa
2352;C;235;4;Manufacture of lime and plaster;Proizvodnja vapna i gipsa ;Proizvodnja kreèa i gipsa;Proizvodnja kreèa i gipsa;Proizvodnja apna in mavca
2361;C;236;4;Manufacture of concrete products for construction purposes;Proizvodnja proizvoda od betona za graðevinarstvo;Proizvodnja proizvoda od betona za graðevinarstvo;Proizvodnja proizvoda od betona namenjenih za graðevinarstvo;Proizvodnja betonskih izdelkov za gradbeništvo
2362;C;236;4;Manufacture of plaster products for construction purposes;Proizvodnja proizvoda od gipsa za graðevinarstvo;Proizvodnja proizvoda od gipsa za graðevinarstvo;Proizvodnja proizvoda od gipsa namenjenih za graðevinarstvo;Proizvodnja izdelkov iz mavca za gradbeništvo
2363;C;236;4;Manufacture of ready-mixed concrete;Proizvodnja gotove betonske smjese;Proizvodnja gotove betonske smjese;Proizvodnja svežeg betona;Proizvodnja sveže betonske mešanice
2364;C;236;4;Manufacture of mortars;Proizvodnja žbuke;Proizvodnja žbuke;Proizvodnja maltera;Proizvodnja malte
2365;C;236;4;Manufacture of fibre cement;Proizvodnja fibro-cementa;Proizvodnja (vlaknastog) fibro-cementa;Proizvodnja proizvoda od cementa s vlaknima;Proizvodnja izdelkov iz vlaknatega cementa
2369;C;236;4;Manufacture of other articles of concrete, plaster and cement;Proizvodnja ostalih proizvoda od betona, cementa i gipsa ;Proizvodnja ostalih proizvoda od betona, cementa i gipsa;Proizvodnja ostalih proizvoda od betona, gipsa i cementa;Proizvodnja drugih izdelkov iz betona, cementa, mavca
2370;C;237;4;Cutting, shaping and finishing of stone;Rezanje, oblikovanje i obrada kamena;Rezanje, oblikovanje i obrada kamena;Seèenje, oblikovanje i obrada kamena;Obdelava naravnega kamna
2391;C;239;4;Production of abrasive products;Proizvodnja brusnih proizvoda;Proizvodnja brusnih proizvoda;Proizvodnja brusnih proizvoda;Proizvodnja brusilnih sredstev
2399;C;239;4;Manufacture of other non-metallic mineral products n.e.c.;Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n.;Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n.;Proizvodnja ostalih proizvoda od nemetalnih minerala;Proizvodnja drugih nekovinskih mineralnih izdelkov
2410;C;241;4;Manufacture of basic iron and steel and of ferro-alloys;Proizvodnja sirovog željeza, èelika i ferolegura;Proizvodnja sirovog željeza, èelika i ferolegura;Proizvodnja sirovog gvožða, èelika i ferolegura;Proizvodnja surovega železa, jekla, ferozlitin
2420;C;242;4;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel;Proizvodnja èeliènih cijevi i pribora;Proizvodnja cijevi, crijeva, šupljih profila i pripadajuæeg pribora od èelika;Proizvodnja èeliènih cevi, šupljih profila i fitinga;Proizvodnja jeklenih cevi, votlih profilov in fitingov
2431;C;243;4;Cold drawing of bars;Hladno vuèenje šipki;Hladno vuèenje šipki;Hladno valjanje šipki;Hladno vleèenje profilov
2432;C;243;4;Cold rolling of narrow strip;Hladno valjanje uskih vrpci;Hladno valjanje uskih vrpci;Hladno valjanje pljosnatih proizvoda;Hladno valjanje traku
2433;C;243;4;Cold forming or folding;Hladno oblikovanje i profiliranje ;Hladno oblikovanje i profiliranje;Hladno oblikovanje profila;Hladno oblikovanje profilov in pregibanje
2434;C;243;4;Cold drawing of wire;Hladno vuèenje žice;Hladno vuèenje žice;Hladno vuèenje žice;Hladno vleèenje žice
2441;C;244;4;Precious metals production;Proizvodnja plemenitih metala;Proizvodnja plemenitih metala;Proizvodnja plemenitih metala;Proizvodnja plemenitih kovin
2442;C;244;4;Aluminium production;Proizvodnja aluminija;Proizvodnja aluminija;Proizvodnja aluminijuma;Proizvodnja aluminija
2443;C;244;4;Lead, zinc and tin production;Proizvodnja olova, cinka i kositra;Proizvodnja olova, cinka i kositra;Proizvodnja olova, cinka i kalaja;Proizvodnja svinca, cinka in kositra
2444;C;244;4;Copper production;Proizvodnja bakra;Proizvodnja bakra;Proizvodnja bakra;Proizvodnja bakra
2445;C;244;4;Other non-ferrous metal production;Proizvodnja ostalih obojenih metala;Proizvodnja ostalih obojenih metala;Proizvodnja ostalih obojenih metala;Proizvodnja drugih neželeznih kovin
2446;C;244;4;Processing of nuclear fuel;Obrada nuklearnoga goriva;Obrada nuklearnog goriva;Proizvodnja nuklearnog goriva;Proizvodnja jedrskega goriva
2451;C;245;4;Casting of iron;Lijevanje željeza;Lijevanje željeza;Livenje gvožða;Litje železa
2452;C;245;4;Casting of steel;Lijevanje èelika;Lijevanje èelika;Livenje èelika;Litje jekla
2453;C;245;4;Casting of light metals;Lijevanje lakih metala;Lijevanje lakih metala;Livenje lakih metala;Litje lahkih kovin
2454;C;245;4;Casting of other non-ferrous metals;Lijevanje ostalih obojenih metala;Lijevanje ostalih obojenih metala;Livenje ostalih obojenih metala;Litje drugih neželeznih kovin
2511;C;251;4;Manufacture of metal structures and parts of structures;Proizvodnja metalnih konstrukcija i njihovih dijelova;Proizvodnja metalnih konstrukcija i njihovih dijelova;Proizvodnja metalnih konstrukcija i delova konstrukcija;Proizvodnja kovinskih konstrukcij in njihovih delov
2512;C;251;4;Manufacture of doors and windows of metal;Proizvodnja vrata i prozora od metala;Proizvodnja vrata i prozora od metala;Proizvodnja metalnih vrata i prozora;Proizvodnja kovinskega stavbnega pohištva
2521;C;252;4;Manufacture of central heating radiators and boilers;Proizvodnja radijatora i kotlova za centralno grijanje;Proizvodnja radijatora i kotlova za centralno grijanje;Proizvodnja kotlova i radijatora za centralno grejanje;Proizvodnja radiatorjev in kotlov za centralno ogrevanje
2529;C;252;4;Manufacture of other tanks, reservoirs and containers of metal;Proizvodnja ostalih metalnih cisterni, rezervoara i sliènih posuda ;Proizvodnja ostalih metalnih cisterni, rezervoara i sliènih posuda;Proizvodnja ostalih metalnih cisterni, rezervoara i kontejnera;Proizvodnja drugih kovinskih rezervoarjev in cistern
2530;C;253;4;Manufacture of steam generators, except central heating hot water boilers;Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom;Proizvodnja parnih kotlova, osim kotlova za centralno grijanje;Proizvodnja parnih kotlova, osim kotlova za centralno grejanje;Proizvodnja parnih kotlov, razen kotlov za centralno ogrevanje
2540;C;254;4;Manufacture of weapons and ammunition;Proizvodnja oružja i streljiva;Proizvodnja oružja i municije;Proizvodnja oružja i municije;Proizvodnja orožja in streliva
2550;C;255;4;"Forging, pressing, stampingand roll-forming of metal; powder metallurgy";"Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha";"Kovanje, presovanje, štancanje  i valjanje metala; metalurgija praha";"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha";Kovanje, stiskanje, vtiskovanje in valjanje kovin, prašna metalurgija
2561;C;256;4;Treatment and coating of metals;Obrada i prevlaèenje metala;Površinska obrada i prevlaèenje metala;Obrada i prevlaèenje metala;Površinska obdelava in prekrivanje kovin
2562;C;256;4;Machining;Strojna obrada metala;Mašinska obrada metala;Mašinska obrada metala;Mehanska obdelava kovin
2571;C;257;4;Manufacture of cutlery;Proizvodnja sjeèiva;Proizvodnja sjeèiva;Proizvodnja seèiva;Proizvodnja rezil in jedilnega pribora
2572;C;257;4;Manufacture of locks and hinges;Proizvodnja brava i okova;Proizvodnja brava i okova;Proizvodnja brava i okova;Proizvodnja kljuèavnic, okovja
2573;C;257;4;Manufacture of tools;Proizvodnja alata;Proizvodnja alata;Proizvodnja alata;Proizvodnja orodja
2591;C;259;4;Manufacture of steel drums and similar containers;Proizvodnja èeliènih baèava i sliènih posuda ;Proizvodnja èeliènih buradi i sliènih posuda od èelika;Proizvodnja èeliènih buradi i sliène ambalaže;Proizvodnja jeklenih bobnov, sodov in podobnih posod
2592;C;259;4;Manufacture of light metal packaging;Proizvodnja ambalaže od lakih metala;Proizvodnja ambalaže od lakih metala;Proizvodnja ambalaže od lakih metala;Proizvodnja lahke kovinske embalaže
2593;C;259;4;Manufacture of wire products, chain and springs;Proizvodnja proizvoda od žice, lanaca i opruga;Proizvodnja proizvoda od žice, lanaca i opruga;Proizvodnja žièanih proizvoda, lanaca i opruga;Proizvodnja izdelkov iz žice, verig in vzmeti
2594;C;259;4;Manufacture of fasteners and screw machine products;Proizvodnja zakovica i vijèane robe;Proizvodnja veznih i vijèanih proizvoda;Proizvodnja veznih elemenata i vijèanih mašinskih proizvoda;Proizvodnja vijaènega materiala, vezi
2599;C;259;4;Manufacture of other fabricated metal products n.e.c.;Proizvodnja ostalih gotovih proizvoda od metala, d. n.;Proizvodnja ostalih gotovih proizvoda od metala, d. n.;Proizvodnja ostalih metalnih proizvoda;Proizvodnja drugje nerazvršèenih kovinskih izdelkov
2611;C;261;4;Manufacture of electronic components;Proizvodnja elektronièkih komponenata ;Proizvodnja elektronièkih komponenata;Proizvodnja elektronskih elemenata;Proizvodnja elektronskih komponent
2612;C;261;4;Manufacture of loaded electronic boards;Proizvodnja punih elektronièkih ploèa;Proizvodnja punih elektronièkih ploèa;Proizvodnja štampanih elektronskih ploèa;Proizvodnja elektronskih plošè
2620;C;262;4;Manufacture of computers and peripheral equipment;Proizvodnja raèunala i periferne opreme;Proizvodnja raèunara i periferne opreme;Proizvodnja raèunara i periferne opreme;Proizvodnja raèunalnikov in perifernih naprav
2630;C;263;4;Manufacture of communication equipment;Proizvodnja komunikacijske opreme;Proizvodnja komunikacijske opreme;Proizvodnja komunikacione opreme;Proizvodnja komunikacijskih naprav
2640;C;264;4;Manufacture of consumer electronics;Proizvodnja elektronièkih ureðaja za široku potrošnju;Proizvodnja elektronièkih ureðaja za široku potrošnju;Proizvodnja elektronskih ureðaja za široku potrošnju;Proizvodnja elektronskih naprav za široko rabo
2651;C;265;4;Manufacture of instruments and appliances for measuring, testing and navigation;Proizvodnja instrumenata i aparata za mjerenje,  ispitivanje i navigaciju;Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navoðenje;Proizvodnja mernih, istraživaèkih i navigacionih instrumenata i aparata;Proizvodnja merilnih, preizkuševalnih in navigacijskih instrumentov in naprav
2652;C;265;4;Manufacture of watches and clocks;Proizvodnja satova ;Proizvodnja satova;Proizvodnja satova;Proizvodnja ur
2660;C;266;4;Manufacture of irradiation, electromedical and electrotherapeutic equipment;Proizvodnja opreme za zraèenje, elektromedicinske i elektroterapeutske opreme;Proizvodnja  opreme  za  zraèenje,  elektromedicinske  i elektroterapeutske opreme;Proizvodnja opreme za zraèenje, elektromedicinske i elektroterapeutske opreme;Proizvodnja sevalnih, elektromedicinskih in elektroterapevtskih naprav
2670;C;267;4;Manufacture of optical instruments and photographic equipment;Proizvodnja optièkih instrumenata i fotografske opreme;Proizvodnja optièkih instrumenata i fotografske opreme;Proizvodnja optièkih instrumenata i fotografske opreme;Proizvodnja optiènih instrumentov in fotografske opreme
2680;C;268;4;Manufacture of magnetic and optical media;Proizvodnja magnetskih i optièkih medija;Proizvodnja magnetnih i optièkih medija;Proizvodnja magnetnih i optièkih nosilaca zapisa;Proizvodnja magnetnih in optiènih nosilcev zapisa
2711;C;271;4;Manufacture of electric motors, generators and transformers;Proizvodnja elektromotora, generatora i transformatora;Proizvodnja elektromotora, generatora i transformatora;Proizvodnja elektromotora, generatora i transformatora;Proizvodnja elektromotorjev, generatorjev in transformatorjev
2712;C;271;4;Manufacture of electricity distribution and control apparatus;Proizvodnja ureðaja za distribuciju i kontrolu elektriène energije;Proizvodnja ureðaja za distribuciju i kontrolu elektriène energije;Proizvodnja opreme za distribuciju elektriène energije i opreme za upravljanje elektriènom energijom;Proizvodnja naprav za distribucijo in krmiljenje elektrike
2720;C;272;4;Manufacture of batteries and accumulators;Proizvodnja baterija i akumulatora;Proizvodnja baterija i akumulatora;Proizvodnja baterija i akumulatora;Proizvodnja baterij in akumulatorjev
2731;C;273;4;Manufacture of fibre optic cables;Proizvodnja kablova od optièkih vlakana;Proizvodnja kablova od optièkih vlakana;Proizvodnja kablova od optièkih vlakana;Proizvodnja kablov iz optiènih vlaken
2732;C;273;4;Manufacture of other electronic and electric wires and cables;Proizvodnja ostalih elektronièkih i elektriènih žica i kablova;Proizvodnja ostalih elektronièkih i elektriènih žica i kablova;Proizvodnja ostalih elektronskih i elektriènih provodnika i kablova;Proizvodnja drugih elektriènih kablov in žic
2733;C;273;4;Manufacture of wiring devices;Proizvodnja elektroinstalacijskog materijala;Proizvodnja elektroinstalacijskog materijala;Proizvodnja opreme za povezivanje žica i kablova;Proizvodnja vtiènic, stikal in drugih naprav za ožièenje
2740;C;274;4;Manufacture of electric lighting equipment;Proizvodnja elektriène opreme za rasvjetu;Proizvodnja elektriène opreme za rasvjetu;Proizvodnja opreme za osvetljenje;Proizvodnja naprav in opreme za razsvetljavo
2751;C;275;4;Manufacture of electric domestic appliances;Proizvodnja elektriènih aparata za kuæanstvo;Proizvodnja elektriènih aparata za domaæinstvo;Proizvodnja elektriènih aparata za domaæinstvo;Proizvodnja elektriènih gospodinjskih naprav
2752;C;275;4;Manufacture of non-electric domestic appliances;Proizvodnja neelektriènih aparata za kuæanstvo;Proizvodnja neelektriènih aparata za domaæinstvo;Proizvodnja neelektriènih aparata za domaæinstvo;Proizvodnja neelektriènih gospodinjskih naprav
2790;C;279;4;Manufacture of other electrical equipment;Proizvodnja ostale elektriène opreme;Proizvodnja ostale elektriène opreme;Proizvodnja ostale elektriène opreme;Proizvodnja drugih elektriènih naprav
2811;C;281;4;Manufacture of engines and turbines, except aircraft, vehicle and cycle engines;Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila;Proizvodnja motora i turbina, osim motora za avione i motorna vozila;Proizvodnja motora i turbina, osim za letelice i motorna vozila;Proizvodnja motorjev in turbin, razen za letala in motorna vozila
2812;C;281;4;Manufacture of fluid power equipment;Proizvodnja hidrauliènih pogonskih ureðaja;Proizvodnja hidrauliènih pogonskih ureðaja;Proizvodnja hidrauliènih pogonskih ureðaja;Proizvodnja naprav za fluidno tehniko
2813;C;281;4;Manufacture of other pumps and compressors;Proizvodnja ostalih crpki i kompresora;Proizvodnja ostalih pumpi i kompresora;Proizvodnja ostalih pumpi i kompresora;Proizvodnja èrpalk in kompresorjev
2814;C;281;4;Manufacture of other taps and valves;Proizvodnja ostalih slavina i ventila;Proizvodnja ostalih slavina i ventila;Proizvodnja ostalih slavina i ventila;Proizvodnja pip in ventilov
2815;C;281;4;Manufacture of bearings, gears, gearing and driving elements;Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata;Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata;Proizvodnja ležajeva, zupèanika i zupèastih pogonskih elemenata;Proizvodnja ležajev, zobnikov in elementov za mehanski prenos energije
2821;C;282;4;Manufacture of ovens, furnaces and furnace burners;Proizvodnja peæi i plamenika;Proizvodnja peæi, ložišta i plamenika;Proizvodnja industrijskih peæi i gorionika;Proizvodnja peèi in gorilnikov
2822;C;282;4;Manufacture of lifting and handling equipment;Proizvodnja ureðaja za dizanje i prenošenje;Proizvodnja ureðaja za dizanje i prenošenje;Proizvodnja opreme za podizanje i prenošenje;Proizvodnja dvigalnih in transportnih naprav
2823;C;282;4;Manufacture of office machinery and equipment (except computers and peripheral equipment);Proizvodnja uredskih strojeva i opreme (osim proizvodnje raèunala i periferne opreme);Proizvodnja kancelarijskih mašina i opreme (osim proizvodnje raèunara i periferne opreme);Proizvodnja kancelarijskih mašina i opreme, osim raèunara i raèunarske opreme;Proizvodnja pisarniških strojev in naprav (razen raèunalnikov in perifernih naprav)
2824;C;282;4;Manufacture of power-driven hand tools;Proizvodnja mehaniziranoga ruènog alata;Proizvodnja ruènih prenosivih alata s vlastitim pogonom;Proizvodnja ruènih pogonskih aparata sa mehanizmima;Proizvodnja roènih strojev in naprav
2825;C;282;4;Manufacture of non-domestic cooling and ventilation equipment;Proizvodnja rashladne i ventilacijske opreme, osim za kuæanstvo;Proizvodnja rashladne i ventilacijske opreme, osim za domaæinstvo;Proizvodnja rashladne i ventilacione opreme, osim za domaæinstvo;Proizvodnja hladilnih in prezraèevalnih naprav, razen za gospodinjstva
2829;C;282;4;Manufacture of other general-purpose machinery n.e.c.;Proizvodnja ostalih strojeva za opæe namjene, d. n.;Proizvodnja ostalih mašina za opæe namjene, d. n.;Proizvodnja ostalih mašina i aparata opšte namene;Proizvodnja drugih strojev in naprav za splošne namene
2830;C;283;4;Manufacture of agricultural and forestry machinery;Proizvodnja strojeva za poljoprivredu i šumarstvo;Proizvodnja mašina za poljoprivredu i šumarstvo;Proizvodnja mašina za poljoprivredu i šumarstvo;Proizvodnja kmetijskih in gozdarskih strojev
2841;C;284;4;Manufacture of metal forming machinery;Proizvodnja strojeva za obradu metala;Proizvodnja mašina za obradu metala;Proizvodnja mašina za obradu metala;Proizvodnja strojev za oblikovanje in obdelavo kovin
2849;C;284;4;Manufacture of other machine tools;Proizvodnja ostalih alatnih strojeva;Proizvodnja ostalih alatnih mašina;Proizvodnja ostalih alatnih mašina;Proizvodnja drugih obdelovalnih strojev
2891;C;289;4;Manufacture of machineryfor metallurgy;Proizvodnja strojeva za metalurgiju;Proizvodnja mašina za metalurgiju;Proizvodnja mašina za metalurgiju;Proizvodnja metalurških strojev
2892;C;289;4;Manufacture of machineryfor mining, quarrying and construction;Proizvodnja strojeva za rudnike, kamenolome i graðevinarstvo;Proizvodnja mašina za rudnike, kamenolome i graðevinarstvo;Proizvodnja mašina za rudnike, kamenolome i graðevinarstvo;Proizvodnja rudarskih in gradbenih strojev
2893;C;289;4;Manufacture of machinery for food, beverage and tobacco processing;Proizvodnja strojeva za industriju hrane, piæa i duhana;Proizvodnja mašina za industriju hrane, piæa i duhana;Proizvodnja mašina za industriju hrane, piæa i duvana;Proizvodnja strojev za živilsko in tobaèno industrijo
2894;C;289;4;Manufacture of machineryfor textile, apparel and leather production;Proizvodnja strojeva za industriju tekstila, odjeæe i kože;Proizvodnja mašina za industriju tekstila, odjeæe i kože;Proizvodnja mašina za industriju tekstila, odeæe i kože;Proizvodnja strojev za tekstilno, oblaèilno in usnjarsko industrijo
2895;C;289;4;Manufacture of machineryfor paper and paperboard production;Proizvodnja strojeva za industriju papira i kartona;Proizvodnja mašina za industriju papira i kartona;Proizvodnja mašina za industriju papira i kartona;Proizvodnja strojev za industrijo papirja in kartona
2896;C;289;4;Manufacture of plastic and rubber machinery;Proizvodnja strojeva za plastiku i gumu;Proizvodnja mašina za plastiku i gumu;Proizvodnja mašina za izradu plastike i gume;Proizvodnja strojev za plastiko in gumo
2899;C;289;4;Manufacture of other special-purpose machinery n.e.c.;Proizvodnja ostalih strojeva za posebne namjene, d. n.;Proizvodnja ostalih mašina za posebne namjene, d. n.;Proizvodnja mašina za ostale specijalne namene;Proizvodnja strojev za druge posebne namene
2910;C;291;4;Manufacture of motor vehicles;Proizvodnja motornih vozila;Proizvodnja motornih vozila;Proizvodnja motornih vozila;Proizvodnja motornih vozil
2920;C;292;4;"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers";Proizvodnja karoserija za motorna vozila, prikolica i poluprikolica;"Proizvodnja karoserija za motorna vozila; proizvodnja prikolica i poluprikolica";Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice;Proizvodnja karoserij za vozila, proizvodnja prikolic, polprikolic
2931;C;293;4;Manufacture of electrical and electronic equipment for motor vehicles;Proizvodnja elektriène i elektronièke opreme za motorna vozila ;Proizvodnja elektriène i elektronièke opreme za motorna vozila;Proizvodnja elektriène i elektronske opreme za motorna vozila;Proizvodnja elektriène in elektronske opreme za motorna vozila
2932;C;293;4;Manufacture of other parts and accessor ies for motor vehicles;Proizvodnja ostalih dijelova i pribora za motorna vozila ;Proizvodnja ostalih dijelova i pribora za motorna vozila;Proizvodnja ostalih delova i dodatne opreme za motorna vozila;Proizvodnja drugih delov in opreme za motorna vozila
3011;C;301;4;Building of ships and floating structures;Gradnja brodova i plutajuæih objekata;Gradnja brodova i ploveæih objekata;Izgradnja brodova i plovnih objekata;Gradnja ladij in plavajoèih konstrukcij
3012;C;301;4;Building of pleasure and sporting boats;Gradnja èamaca za razonodu i sportskih èamaca;Gradnja èamaca za razonodu i sportskih èamaca;Izrada èamaca za sport i razonodu;Proizvodnja èolnov za razvedrilo in šport
3020;C;302;4;Manufacture of railway locomotives and rolling stock;Proizvodnja željeznièkih lokomotiva i traènièkih vozila;Proizvodnja željeznièkih lokomotiva i traènièkih vozila;Proizvodnja lokomotiva i šinskih vozila;Proizvodnja železniških in drugih tirnih vozil
3030;C;303;4;Manufacture of air and spacecraft and related machinery;Proizvodnja zrakoplova i svemirskih letjelica te srodnih prijevoznih sredstava i opreme;Proizvodnja aviona i svemirskih letjelica te srodnih prijevoznih sredstava i opreme;Proizvodnja vazdušnih i svemirskih letelica i odgovarajuæe opreme;Proizvodnja zraènih in vesoljskih plovil
3040;C;304;4;Manufacture of militaryfighting vehicles;Proizvodnja vojnih borbenih vozila;Proizvodnja vojnih borbenih vozila;Proizvodnja borbenih vojnih vozila;Proizvodnja bojnih vozil
3091;C;309;4;Manufacture of motorcycles;Proizvodnja motocikala;Proizvodnja motocikala;Proizvodnja motocikala;Proizvodnja motornih koles
3092;C;309;4;Manufacture of bicycles and invalid carriages;Proizvodnja bicikala i invalidskih kolica;Proizvodnja bicikala i invalidskih kolica;Proizvodnja bicikala i invalidskih kolica;Proizvodnja koles in invalidskih vozièkov
3099;C;309;4;Manufacture of other transport equipment n.e.c.;Proizvodnja ostalih prijevoznih sredstava, d. n. ;Proizvodnja ostalih prijevoznih sredstava, d. n.;Proizvodnja ostale transportne opreme;Proizvodnja vprežnih in drugih vozil
3101;C;310;4;Manufacture of office and shop furniture;Proizvodnja namještaja za poslovne i prodajne prostore;Proizvodnja namještaja za poslovne i prodajne prostore;Proizvodnja nameštaja za poslovne i prodajne prostore;Proizvodnja pohištva za poslovne in prodajne prostore
3102;C;310;4;Manufacture of kitchen furniture;Proizvodnja kuhinjskog namještaja;Proizvodnja kuhinjskog namještaja;Proizvodnja kuhinjskog nameštaja;Proizvodnja kuhinjskega pohištva
3103;C;310;4;Manufacture of mattresses;Proizvodnja madraca;Proizvodnja madraca;Proizvodnja madraca;Proizvodnja žimnic
3109;C;310;4;Manufacture of other furniture;Proizvodnja ostalog namještaja;Proizvodnja ostalog namještaja;Proizvodnja ostalog nameštaja;Proizvodnja drugega pohištva
3211;C;321;4;Striking of coins;Proizvodnja novca;Proizvodnja kovanog novca;Kovanje novca;Kovanje kovancev
3212;C;321;4;Manufacture of jewelleryand related articles;Proizvodnja nakita i srodnih proizvoda;Proizvodnja nakita i srodnih proizvoda;Proizvodnja nakita i srodnih predmeta;Proizvodnja nakita in podobnih izdelkov
3213;C;321;4;Manufacture of imitation jewelleryand related articles;Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda;Proizvodnja imitacije nakita (bižuterije) i srodnih proizvoda;Proizvodnja imitacije nakita i srodnih proizvoda;Proizvodnja bižuterije
3220;C;322;4;Manufacture of musical instruments;Proizvodnja glazbenih instrumenata;Proizvodnja muzièkih instrumenata;Proizvodnja muzièkih instrumenata;Proizvodnja glasbil
